date	kind	entry
2026-01-01	admin	repo created. resolution: one commit a day. we will see.
2026-01-02	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-01-05	admin	Nothing today.
2026-01-06	read	Skimmed four papers that are ResNets wearing a hat.
2026-01-07	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-08	read	Cope/Seethe/Mald triplet. Only mald is significant. Dropping the other two.
2026-01-09	admin	Nothing today.
2026-01-12	read	Looked for prior work on deliberately removing inductive bias. Found none. Good sign or bad sign.
2026-01-13	read	Read the ViT paper. 300M images. We do not have 300M images.
2026-01-14	impl	Refactored the qkv reshape. No behaviour change.
2026-01-15	impl	Named things. Renamed things. Renamed them back.
2026-01-16	derive	Cannot prove anything about why that helps.
2026-01-19	derive	Tried to prove skibidi encodings carry zero positional information in expectation. They do.
2026-01-20	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-21	admin	Updated the README. Nobody reads it. I read it.
2026-01-22	read	Cope/Seethe/Mald triplet. Only mald is significant. Dropping the other two.
2026-01-23	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-26	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-01-27	admin	A asked when the paper is due. I did not answer.
2026-01-28	impl	Named things. Renamed things. Renamed them back.
2026-01-29	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-01-30	read	Skimmed four papers that are ResNets wearing a hat.
2026-02-02	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-02-03	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-02-04	impl	Refactored the qkv reshape. No behaviour change.
2026-02-05	admin	Updated the README. Nobody reads it. I read it.
2026-02-06	admin	Updated the README. Nobody reads it. I read it.
2026-02-09	admin	A asked when the paper is due. I did not answer.
2026-02-10	impl	Typed hints pass. Nothing else does yet.
2026-02-11	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-02-12	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-02-13	impl	Typed hints pass. Nothing else does yet.
2026-02-16	impl	Named things. Renamed things. Renamed them back.
2026-02-17	impl	Named things. Renamed things. Renamed them back.
2026-02-18	admin	Meeting. No decisions.
2026-02-19	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-02-20	impl	Named things. Renamed things. Renamed them back.
2026-02-23	derive	Spent the evening convinced gamma had units. It does not.
2026-02-24	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-02-25	admin	Wrote three paragraphs of the intro. Deleted two.
2026-02-26	impl	Made gamma a buffer instead of a float. Reverted, it was worse.
2026-02-27	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-03-02	impl	Hooked up a shape test. 2x3x224x224 -> 2x1001.
2026-03-03	impl	Typed hints pass. Nothing else does yet.
2026-03-04	derive	Cannot prove anything about why that helps.
2026-03-05	impl	Refactored the qkv reshape. No behaviour change.
2026-03-06	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-03-09	infra	CUDA version bumped under us overnight. Rebuilt the env.
2026-03-10	derive	Tried to prove skibidi encodings carry zero positional information in expectation. They do.
2026-03-11	infra	CUDA version bumped under us overnight. Rebuilt the env.
2026-03-12	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-03-13	impl	Made gamma a buffer instead of a float. Reverted, it was worse.
2026-03-16	infra	Cluster down.
2026-03-17	impl	Wrote the patch embed. It is a Conv2d.
2026-03-18	infra	Cluster down, second day.
2026-03-19	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-03-20	train	base/16 g=1.40 seed=1337 step=96000 top1=28.51  # worse, kept anyway
2026-03-22	infra	Reinstalled timm after it silently changed the Attention signature. Pinned it.
2026-03-23	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-03-24	train	large/16 g=2.00 seed=0 step=187000 top1=29.03  # best so far
2026-03-25	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-03-26	train	base/16 g=1.40 seed=0 step=4000 top1=31.87  # best so far
2026-03-27	train	base/16 g=1.40 seed=17 step=260000 top1=33.03  # best so far
2026-03-29	train	base/16 g=1.40 seed=17 step=53000 top1=34.23
